epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,12.9031,2.81676,0.125,0.325,2.76258,3.682e-05,3.682e-05,3.682e-05
2,27.2559,2.7795,0.15,0.4,2.74801,7.10889e-05,7.10889e-05,7.10889e-05
3,42.1624,2.71038,0.125,0.475,2.68305,9.7026e-05,9.7026e-05,9.7026e-05
4,58.797,2.69161,0.125,0.425,2.66863,0.000114631,0.000114631,0.000114631
5,79.7765,2.586,0.175,0.525,2.64878,0.000123905,0.000123905,0.000123905
6,100.095,2.53512,0.175,0.525,2.52294,0.000124846,0.000124846,0.000124846
7,120.571,2.44161,0.2,0.525,2.55609,0.000117456,0.000117456,0.000117456
8,140.971,2.43481,0.2,0.575,2.56578,0.000101734,0.000101734,0.000101734
9,160.982,2.38482,0.2,0.55,2.50759,7.76797e-05,7.76797e-05,7.76797e-05
10,180.864,2.36301,0.2,0.525,2.54478,4.52939e-05,4.52939e-05,4.52939e-05
